video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
HNYA6bqL6bU,Devara Release Trailer (Telugu) | NTR | Saif Ali Khan | Janhvi | Koratala Siva | Anirudh | Sep 27,"Here’s Devara Part - 1 Telugu Release Trailer ft. NTR, Saif Ali Khan, Janhvi Kapoor. Written & Directed by Koratala Siva. The Film’s music is composed by Anirudh Ravichander. Grand Release on September 27th,2024

#Devara #NTR30 #DevaraReleaseTrailer #DevaraPart1 #ManofMassesNTR 

Also Starring : Prakash Raj, Srikanth, Shine Tom Chacko

Music: Anirudh Ravichander
DOP: Rathnavelu ISC
Production Designer : Sabu Cyril
VFX Supervisor : Yugandhar T
Editor: Sreekar Prasad
Producers: Sudhakar Mikkilineni - Kosaraju Harikrishna
Banners : NTR Arts and Yuvasudha Arts 
DI & Sound Mix : Annapurna Studios 
Sound design : Sync Cinema 
Sound mixing : Kannan ganpat
PRO:
Digital Media: Nani
Telugu :Vamsi Kaka
Music Label: T-Series",2024-09-22T08:37:14Z,UCSbEeTlKPcfwAlqwJ08rZaw,NTR Arts,24,"['NTR ARTS', 'Devara Release Trailer', 'Devara Release Trailer (Telugu)', 'NTR', 'Saif Ali Khan', 'Janhvi Kapoor']",PT2M8S,hd,true,15904029,339122,0,0,9280
1hma1Vax9aA,#ECL | Qualifier 2 | Haryanvi Hunters vs Mumbai Disruptors | Elvish Yadav vs Munawar Faruqui,"Get ready for the Qualifier 2 of the Entertainers Cricket League 2024! A batter for the place in rhe Final. It's Elvish Yadav vs Munawar Faruqui.

Download Vision11 App - (Sign Up & Get Rs. 100 Real Cash): https://vision11.in/download/ECL

#EntertainersCricketLeague #Season1 #HaryanviHunters #MumbaiDisruptors #ElvishYadav #MunawarFaruqui",2024-09-21T18:00:20Z,UCXxfSqhos1wxKrrDs7OlK1A,Entertainers Cricket League (ECL),24,"['elvish yadav', 'elvish army', 'elvish cricketer', 'ecl', 'ecl cricket', 'ecl live', 'entertainment cricket league', 'munawar faruqui', 'munawar']",PT3H42M5S,hd,false,4779491,137694,0,0,1225
pE1qTi_Lt8E,Vettaiyan - Prevue | Rajinikanth | Amitabh Bachchan | T.J. Gnanavel | Anirudh | Subaskaran | Lyca,"Vettaiyan - Prevue | Rajinikanth | Amitabh Bachchan | T.J. Gnanavel | Anirudh | Subaskaran | Lyca Productions

#Vettaiyan #Thalaivar170 #Rajinikanth #TJGnanavel #Anirudh #Subaskaran #LycaProductions 

Lyca Productions 
Subaskaran Presents
Superstar Rajinikanth in Vettaiyan

Movie Credits:
Cast: Rajinikanth, Amitabh Bachchan, Fahadh Faasil, Rana Daggubati, Manju Warrier, Kishore, Ritika Singh, Dushara Vijayan, GM Sundar, Abirami, Rohini, Rao Ramesh, Ramesh Thilak, Rakshan
Writer & Director: T.J. Gnanavel
Music: Anirudh Ravichander
Director of Photography: SR Kathir I.S.C
Production Designer: K.Kadhir
Action Director: Anbariv
Editor: Philomin Raj
Screenplay: B Kiruthika
Choreographer: Dinesh
Art Director: Sakthee Venkatraj M.
Makeup: Banu, Pattanam Rasheed, Jeetendra Sawant
Costume Design: Perumal Selvam, Anu Vardhan, Veera Kapur Ee, Dinesh Manoharan, Liji Preman
Stills: S.R Murugan
Production Controller (Tharu Creations): Kimberly Senthil
Co Directors: Mahendran, Senthilkumar Kesavan
Casting Director: Surendra Thanu Murthy
Project Coordination: Whale Tale
First Associate Directors - R. Manikandan Valarmathi, Arun Prakash Samiaiah
Associate Directors - Muhammed Yasar Arafath, Manasvini Boovarahan, Saroja Prakash, Harsha
Damodharan, Sridhar Lo, K.A. Andrew
First Assistant Directors - Abishek, Ashok M J, Arunpandiyan Manokaran
Assistant Directors - A. Gopi Allimuthu, Bala Ganesh, S. Ganesa Moorthy
Lighting Cameraman - Sr. Santhosh Kumar
Operating Cameraman - Bheemji K, Sriram
Associate Cinematographers - V. Karthik, Subramanian Vineeth R
Assistant Cinematographers - Nirmal G, M. Mohamed Farid
Associate Editors - Anbalakan. G, Aral R Thangam
Assistant Editor - Alagar Naveen
Publicity Design: Gopi Prasanna
VFX: Digital Turbo Media
Title Animation: The Ident Labs
Sound Design: Sync Cinema
Final Mixing: Kannan Ganpat
Colorist: Raghunath Varma
DI: B2H Studios
DIT: GB Colors
PRO: Riyaz K Ahmed, Sathish (AIM)
Production Executives: K.R Balamurugan, Thambi M Boopathy
Production Managers: Saattai GNS Sundaram, Seithur K Elango, Sudhakar Dachinamoorthy, N. Palpandi
Production Controller: R.S Venkat
Executive Producer Lyca Productions: Subramanian Narayanan
Head of Lyca Productions - G.K.M. Tamil Kumaran
Produced by Subaskaran

#VettaiyanPrevue #SuperStarRajinikanth #Lyca #SunTV #TJGnanavel #Anirudh #lyca #superstarrajinikanth #Thalaivar170  #VettaiyanMovie #suntv #sunnxt #fahadhfaasil #amitabhbachchan #ranadaggubati #manjuwarrier #kishore #vettaiyanteaser #vettaiyantrailer #vettaiyanmovie #Vettaiyanmovieteaser",2024-09-20T13:39:03Z,UCBnxEdpoZwstJqC1yZpOjRA,Sun TV,24,"['vettaiyan official prevue', 'vettaiyan teaser', 'vettaiyan official trailer', 'vettaiyan trailer', 'vettaiyan movie teaser', 'vettaiyan rajinikanth', ""superstar's new movie"", 'superstar movie', 'thalaivar 170', 'vettaiyan', 'thalaivar 170 vettaiyan', 't.j. gnanavel', 'rajinikanth', 'anirudh', 'happy birthday rajinikanth', 'vettaiyan announcement', 'vettaiyan songs', 'Superstar rajinikanth', 'Rajinikanth new movie 2024', 'New tamil movie 2024', 'Anirudh musical', 'Vettaiyan movie', 'Amitabh bachchan', 'Manju warrior']",PT1M38S,hd,false,5851308,245547,0,0,7657
364HfM-UT18,JAM | Part 2 | Karikku | Comedy,"https://forms.gle/Nh4WRJqToFW8FRcYA

അക്കൗണ്ടിങ് മേഖലയില്‍ ഒരു കരിയര്‍ സ്വപ്‌നം കാണുന്നവര്‍ക്ക് ആത്മവിശ്വാസത്തോടെ തെരഞ്ഞെടുക്കാവുന്ന, കൊമേഴ്‌സ് മേഖലയിലെ ഏറ്റവും മികച്ച പ്രൊഫഷണല്‍ കോഴ്‌സുകളിലൊന്നായ ACCA ഇനി മുതല്‍ Entriയിലും. ചിട്ടയായ പഠനവും കൃത്യമായ ഗൈഡന്‍സും ഉറപ്പാക്കുന്ന ENTRI ACCA യ്‌ക്കൊപ്പം കൊമേഴ്‌സിലെ ഭാവി സാധ്യതകള്‍ പഠിക്കാം. സ്വപ്‌നജോലിയിലേക്ക് അല്‍പ്പം നേരത്തെ എത്താന്‍ ഇപ്പോഴേ തയ്യാറായി ഇരുന്നോളൂ!

കൂടുതൽ വിവരങ്ങൾ അറിയാൻ  Form Fill ചെയ്യൂ.


STORY AND DIRECTION: BINOY JOHN
https://www.instagram.com/binoice 

DIALOGUES: KARIKKU

EXECUTIVE PRODUCER : NIKHIL PRASAD
https://www.instagram.com/nikhilprasaad 

DOP: SIDHARTH KT 
https://www.instagram.com/sidkt 

EDITOR: ANAND MATHEWS
https://www.instagram.com/anandmathews 

ASSOCIATE DIRECTORS:

ANAND MATHEWS
https://www.instagram.com/anandmathews 

SIDHARTH KT
https://www.instagram.com/sidkt 

ABHIJITH KRISHNAN
https://www.instagram.com/abijith_krishnan_ 

MUSIC: SHINE JOSE
https://www.instagram.com/shinejos 

VIOLA: JOSEKUTTY
https://youtube.com/@josekuttyviolin8081

DI: DAWN B JOHNS 
https://www.instagram.com/dawnbjohns 

CONFORMIST: SREERAJ R 
https://www.instagram.com/sreeraj__r__ 

SYNC SOUND & DIALOGUE EDIT: JISHNU RAMANUJAN 
https://www.instagram.com/jishnu_ramanujan 


SOUND DESIGN: NITHEESH VISHWAMBARAN
https://www.instagram.com/nitheeshviswambharan 

FINAL MIXING: HARI N PISHARODY
https://www.instagram.com/hari_pisharody_

VFX: ABIJITH KRISHNAN
https://www.instagram.com/abijith_krishnan_ 

ART: ANOOP MEPPADY
https://www.instagram.com/anoop._.meppadi 

MAKE UP: VAHID ALI PT 
https://www.instagram.com/vahid_ali_pt 

COSTUMES: BABITHA BRAHMANAND
https://www.instagram.com/babitha.brahmanand 

TITLE & POSTER: BINOY JOHN
https://www.instagram.com/binoice 

PRODUCTION MANAGER: ARUN RATAN
https://www.instagram.com/arunratan88 

ASSISTANT DIRECTORS:
BABITHA BRAHMANAND
https://www.instagram.com/babitha.brahmanand 

RAHUL RAMESH
https://www.instagram.com/thisisbyrahulramesh 

PRODUCTION EXECUTIVES:
SIRAJUDHEEN A
https://www.instagram.com/onlylove_srj

AMAL V AMBILI
https://www.instagram.com/_itz_me_ambili_

ASSISTANT EDITOR : RAHUL RAMESH
https://www.instagram.com/thisisbyrahulramesh 

ART ASSISTANT: LIVIN VARGHESE
https://www.instagram.com/livin.varghese.750 

FOCUS PULLER: TONY JOSEPH
https://www.instagram.com/tonyjosephpallithazhe 

CAMERA UNIT: SENSOR FILMS

LIGHT UNIT: BEFORE & AFTER FILM PRODUCTIONS

SOUND STUDIO: SAPTHA RECORDS

SUBTITLES: ARJJUN MENON
https://www.instagram.com/im6achi 

CAST : 

SABAREESH SAJJIN
https://www.instagram.com/sabareeshsajjin 

ANAND MATHEWS
 https://www.instagram.com/anandmathews 

UNNI MATHEWS
https://www.instagram.com/unnimathews 

KRISHNACHANDRAN (KC)
https://www.instagram.com/krishnachandran0 

ARUN RATAN
https://www.instagram.com/arunratan88 


JISHNU RAMANUJAN 
https://www.instagram.com/jishnu_ramanujan 

SUMA DEVI 
https://www.instagram.com/__sumadevi__ 

RIJU RAJEEV
https://www.instagram.com/riju_rajeev?igsh=dW8ycXo0OXYyOGV6

RAHUL RAMESH
https://www.instagram.com/thisisbyrahulramesh 

CHRIS ANTONY",2024-09-20T12:29:58Z,UC2bNrKQbJLphxNCd6BSnTkA,Karikku,23,"['karikku', 'malayalam', 'funny', 'comedy', 'webseries', 'lolan', 'george', 'karikk', 'karikke', 'film', 'trending', 'sketch', 'vine', 'flowerstv']",PT14M8S,hd,true,3838921,233820,0,0,7522
qtKJIDcWUZg,Stress Free day out with Hussain 💛😎 Manimegalai,"Subscribe : @HussainManimegalai

For Advertisement Enquiries in ""Hussain Manimegalai"" channel, 
Mail to : hmofficial47@gmail.com

Follow us on :
Hussain 
http://instagram.com/mehussain_7

Manimegalai 
http://twitter.com/iammanimegalai
http://instagram.com/iammanimegalai
http://facebook.com/iammanimegalai
#HussainManimegalai #Entertainment",2024-09-21T12:43:57Z,UCQS9wN4pNfQ0VNHJRPqj2OQ,Hussain Manimegalai,24,"['Hussain Manimegalai', 'VJ Manimegalai', 'Entertainment', 'Couple Video', 'Fun']",PT14M27S,hd,false,754517,37609,0,0,4722
VoaXQpLh7Tc,Ghum Hai Kisikey Pyaar Meiin | Ep.1345 | Latest | Mon-Sun | 8PM,"Click here to Subscribe Ghum Hai Kisikey Pyaar Meiin : https://www.youtube.com/channel/UCh9Ao0KLPNXGsHqvIU1pdVw

Click here to Subscribe Star Plus : https://www.youtube.com/channel/UC-LPIU24bQXVljUXivKEeRQ


*About* 
------------

       Police officer Virat Chavan ne diya vaada apne marte hue junior ko ke rakhenge woh khayal unki beti, Sai ka. Virat aur Sai bandh gaye anchaahe shaadi ke bandhan mai. Virat ka dil tha Patralekha ke paas jiski shaadi hojati hai kisi aur se. Virat ne vaada kiya Pakhi se ke woh uski jagah kabhi kisi aur ko nahi dega. 
                Virat ne bhale nahi diya Sai ko ek pati ka pyaar par unke rishtey mai izzat hamesha thi. Waqt ke saath saath, Virat ne dekha Sai ka accha roop aur hogaya ussey Sai se pyaar. Yeh kahani hai Virat, Sai aur Patralekha ke pyaar ki.



#starplus #starplusoriginal #starplusofficial #ghkpm #virat #sai #ayeshasingh #neilbhatt #aishwariya #savi #ishaan #reva #bhavikasharma #shaktiarora #sumitsingh #raosaheb #vaishalithakkar  #highlights #ghumhaikisikeypyaarmeiin #love-hatechemistry #lovestory #ghkpmofficial #love #lovetraingle #student #trending #trends #viral #trp #bestshow #saas #bahu #gossips #comingup #comingsoon #bestof #latest #viral #entertainment #serialupdate #entertainmentnews #dailyupdates #starplusoriginal #fun #trendingnow #starplusshow #tbt #comedy #humor #lol #funnyvideos #bestmoments #everyday #mondaytosunday#youtubedaily  #montosun #recap #precap #1345  #highlights #latest #favouriteshow  #indianserial #serial #tventertainment #tvserial #dailyepisodes #miniseries #family #favourite #how #what #where #why #bestseason #entertainmentfullday #dailysoap #explore #bestscenes #everydayentertainment  





Connect with Our More Channels :


Anupama Official - https://www.youtube.com/channel/UCBmRoIwanX7NxzB6-Q_ahdA 

Yeh Rishta Kya Kehlata Hai Official - https://www.youtube.com/channel/UCfqoYnGRFtrIOo5hVb0M_nw

Ghum Hai Kisikey Pyaar Meiin Official - https://www.youtube.com/channel/UCh9Ao0KLPNXGsHqvIU1pdVw

StarPlus Classics Official - https://www.youtube.com/channel/UC-0Rh4XQdw2jV8N7rqDJj0Q

StarPlus Thriller - https://www.youtube.com/channel/UC3E2Z2S-4eBGQE1UMDswplg

Ghum Hai Kisikey Pyaar Meiin | Ep.1345 | Latest | Mon-Sun | 8PM",2024-09-22T09:30:10Z,UCh9Ao0KLPNXGsHqvIU1pdVw,Ghum Hai Kisikey Pyaar Meiin ,24,"['Sharktank Colors Disney+Hotstar Netflix Sony Sab', 'Sony Tv', 'Taarak Mehta ka ulta chashma', 'Zee Tv', 'star plus', 'cricket', 'gaming', 'live streaming', 'vlogs', 'arijit singh', 'Old songs', 'Youtube shorts', 'ASMR', 'Viral', 'Mr. Beast', 'Breaking News', 'KBC', 'Kaun Banega Crorepati', 'Bollywood Songs', 'Chal Kudiye | Jigra | Diljit Dosanjh', 'Wedding songs', 'monaco vs barcelona', 'Sector 36 | Official Trailer', 'ghkpm', 'ghum hai kisikey pyaar meiin', 'ishvi', 'exclusive', 'ghkpmlive', 'ghkpm todays episode ghkpm episode', 'ghum', 'drama']",PT4M17S,hd,false,1198878,15803,0,0,249
PeL4V4C_fFE,Everything About Group Tour | Bong Guy er Jhuli Ep10 | The Bong Guy,"Subscribe my 2nd channel here :  @YourBongGuy   https://www.youtube.com/channel/UCCOfQUhuRSMojOoBQuPNjqQ


Whatsapp Channel : https://whatsapp.com/channel/0029Va1y2EOKmCPXtmFK1l0r

My facebook profile: https://www.facebook.com/kiran.dutta.7587
My Instagram profile: https://www.instagram.com/yourbongguy/
My Facebook Page : https://www.facebook.com/iamthebongguy
Twitter : https://twitter.com/TheBongGuy
watch my other videos.Thank you 


Disclaimer: All the jokes here are for fun and entertainment purpose.Don't hate anyone for my videos.Laugh and leave.",2024-09-22T10:33:01Z,UCh5bICCatQ70Fx4-jwAmWKQ,The Bong Guy,23,"['the bong guy', 'kiran dutta', 'movie roast bong guy', 'bong guy vs dev', 'oh ki lagche bong guy', 'bong guy tiktok roast', 'bong guy new roast', 'bong guy funny movie review', 'bong guy vs cinebap', 'bong guy rochona banerjee', 'bong guy didi no 1', 'bong guy roast', 'bong guy er jhuli', 'gorom khobor chorom khobor', 'bong guy', 'bong gay']",PT18M26S,hd,false,377790,66832,0,0,3596
WOoMwlQqVR4,Jaan Nisar Ep 55 - [Eng Sub] - Digitally Presented by Happilac Paints - 21st Sep 2024 - Har Pal Geo,"Thanks for watching Har Pal Geo. Please click here https://bit.ly/3rCBCYN to Subscribe and hit the bell icon to enjoy Top Pakistani Dramas and satisfy all your entertainment needs. Do you know Har Pal Geo is now available in the US? Share the News. Spread the word.

Jaan Nisar Episode 55 - [Eng Sub] - Digitally Presented by Happilac Paints - Danish Taimoor - Hiba Bukhari - Haroon Shahid - 21st September 2024 - Har Pal Geo

Jaan Nisar Digitally Presented by Happilac Paints

7th Sky Entertainment’s mega project, Jaan Nisar, is the most awaited drama serial of the year.
The highly anticipated project marks the return of the successful on-screen couple of Danish Taimoor and Hiba Bukhari in an unforgettable love story that will steal your heart.

Nosherwan Ghaznavi, a wealthy young man, faces a pivotal moment in his life after his brother's death. This tragedy burdens Nosherwan Ghaznavi with numerous responsibilities, which he reluctantly accepts, only to find them later proving detrimental. However, his life takes a transformative turn upon meeting Dua, falling in love with her at first sight, but it places him at a critical juncture with his responsibilities.

Dua, a beautiful girl from a humble background, is raised by her parents alongside her two sisters. Despite her innocence, fate subjects Dua to a string of misfortunes before encountering Nosherwan Ghaznavi. However, their meeting completely changes their lives.

Will Nowsherwan Ghaznavi find love? What challenges will he face in balancing his duties and his love for Dua? Will his responsibilities jeopardize his love for Dua? What past events have shaped Dua's life, and will they resurface to trouble her? Will Dua return Nowsherwan Ghaznavi’s love?

7th Sky Entertainment Presentation
Producers: Abdullah Kadwani & Asad Qureshi
Director: Mohsin Mirza
Writer: Rehana Aftab

Cast:
Danish Taimoor as Nosherwan Ghaznavi
Hiba Bukhari as Dua
Haroon Shahid as Faraz
Sajid Hasan as Aslam
Hina Bayat as Amma Saeein
Mahmood Aslam as Baba Saeein
Dania Enwer as Fiza
Kinza Malik as Fehmida
Hiba Ali as Kashmala
Sajeeruddin Khalifa as Naseer
Shazia Gohar as Kausar
Humaira Bano as Zunaira
Ellie Zaid as Sumbul
Nain Sukh as Sania
Mehboob Sultan as Jaffar  
Faiza Khan as Rumi
Sarah Ali as Rida

HappilacPaints 
ColorsofHappiness

#jaannisar 
#hibabukhari 
#danishtaimoor 

https://youtu.be/0UX7rMh6LZk
https://youtu.be/3oJ0WQebEtI
https://youtu.be/nnAlOJ5VB-Q
https://youtu.be/FcRzvUGkszM",2024-09-21T16:00:07Z,UCe9JSDmyqNgA_l2BzGHq1Ug,HAR PAL GEO,24,"['latest pakistani drama', 'top pakistani drama', 'best pakistani dramas', 'pakistani drama ost', 'best pakistani ost', 'पाकिस्तानी सीरियल', 'पाकिस्तानी ड्रामा', 'pakistani dramas 2024', 'Danish Taimoor', 'Hiba Bukhari', 'Haroon Shahid', 'Sajid Hasan', 'Hina Bayat', 'Mahmood Aslam', 'Dania Enwer', 'Jaan Nisar Ep 55', 'Jaan Nisar Ost', 'Jaan Nisar 55', 'Ep 55 Jaan Nisar', 'Jaan Nisar episode 55', 'pakistani drama Jaan Nisar', 'Jaan Nisar', '21st September 2024', 'Deewangi ep 55', '#jaannisar', '#ost', 'ED-SA-UL-SA-TH-SA-CC-SA']",PT34M38S,hd,true,15255821,255908,0,0,9152
KuMQDaWCZJE,iPhone 16 & iPhone 16 Pro | Detailed Unboxing and First Impression | Malayalam,"iPhonePhobias
Apple Wholesales & Retails 
Apple Products & Services 
Pan India Courier Service Available
Calicut 📞 9846462356 0495-4010929
Cochin 📞 8136896597 0484-4614674
goo.gl/maps/CacS2fQ65Z1jB8gN9
https://www.instagram.com/iphonephobias/

thumbnail by https://www.instagram.com/viper.torc?igsh=MTkwY2hveHR0YjF0MA==",2024-09-22T09:02:25Z,UC9MQp8a5uhaIosZPHaoqEXQ,CallMeShazzam VINES,24,[],PT18M40S,hd,false,413576,21376,0,0,1088
aZounpozZso,Humare Clothing Brand ka Naam kya hoga??| Rehaan ke sath hi aisa kyu hota hai| Shoaib Ibrahim | vlog,My insta id :- https://instagram.com/shoaib2087?igshid=ji3wjs56r2jc,2024-09-22T13:58:44Z,UC8ZRiu_mBJwuMHcdIpKjTfA,Shoaib Ibrahim Official,22,"['shoaib ibrahim', 'dipika kakar', 'dipika kakar ibrahim', 'ramadan', 'ramadan2021', 'ibrahim family', 'shoaib ibrahim official', 'latest vlog', 'shoaib ibrahim vlogs', 'sehri vlog', 'iftar vlog', 'family', 'family fun', 'sasural simar ka', 'simar', 'ssk2', 'yaar dua', 'shoaika', 'shoaika wedding', 'shoika proposal', 'daily vlog', 'saba ibrahim', 'dipika pregnant', 'Ruhaan', 'Daawat', 'Bigg Boss', 'Happy birthday dipika', 'Dipika ka birthday']",PT12M32S,hd,false,529374,30983,0,0,1815
