video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
MD7v0-igVIM,Singham Again | Official Trailer | A Rohit Shetty Cop Universe | In Cinemas 1st Nov,"Aa rahi aap ki favourite cop universe aapke saath diwali manane.💥
#SinghamAgainTrailer Out Now.

See you in theatres on 1st Nov!

#SinghamAgain

Jio Studios Presents
In Association With Rohit Shetty Picturez & Devgn Films
In Association With Reliance Entertainment & Cinergy
 
Produced By
Arjun Devgn, Jyoti Deshpande & Rohit Shetty

Directed By Rohit Shetty

Star Cast:
Ajay Devgn, Kareena Kapoor Khan, Ranveer Singh, Akshay Kumar, Deepika Padukone, Tiger Shroff, Arjun Kapoor, Jackie Shroff

Music & Background Score
Ravi Basrur

Ranveer Singh's Track Name: Jai Bajrangbali 
Composer: Thaman S

Ravi Basrur Music Team

Music Producers
Ravi Basrur, Chethan Handattu, Pavan Basrur, Sachin Basrur
Bharath Madhusudanan, Jagadish Venky, Krishna Basrur

Indian Live Drums & Percussions: Purushothaman R
Guitar & Stringed Instruments: Mehboob Subani Ongol

Solo Singham Vocal Shouts: Santhosh Venky

Music licensing courtesy: Songs To Your Eyes Ltd

RBM In-House Chorus Batch A:
Vijay Basrur, Krishna Basrur, Nagaprakash Kota, Chethan Handattu
Krishnamurthy Basrur, Ramakrishna Basrur, Poornanandha Basrur,

RBM In-House Chorus Batch B
Sai Siddharth B S, Anish Karthik R, Bramha Bajannavar
Nanndhu J K.G.F, Jagadish Venky, Guruprasad Belthangady

RBM Studio Coordinators :
Nagaprakash Kota, Prakash Kumar Bangalore
Vijay Basrur, Nikhil Basrur, Shivakumar Jayaram

#singhamagain #singhamagaintrailer #singhamagainteaser #ajaydevgn #rohitshetty #rohitshettypicturez  #kareena #kareenakapoorkhan #tigershroff #deepikapadukone #jackieshroff #ranveersinghmovies #akshaykumar #arjunkapoor #singham #singhamreturns",2024-10-07T07:43:56Z,UCcXQd6kHKm0b41x8zMVMmMg,JioStudios,24,"['singham again ajay devgn', 'singam 3 movie', 'singham 3 trailer', 'singham again trailer', 'singham again', 'trailer singham again', 'singham again arjun kapoor', 'singham again deepika padukone', 'singham again ranveer singh', 'singham arjun kapoor', 'singham again ajay devgan trailer', 'singham again deepika padukone trailer', 'singham 3', 'akshay kumar', 'rohit shetty', 'singham again official trailer', 'Singham ajay devgn', 'ajay devgn', 'Singham again trailer', 'singham again teaser', 'singham again diwali']",PT4M58S,hd,true,34224503,798714,0,0,70000
k2YBtVqg_KE,Superstar Rajinikanth Speech | Vettaiyan Audio Launch - Best Moments | Anirudh | Sun TV,"Watch #Rajinikanth Speech at the Vettaiyan Audio Launch.

To watch the Full show of ""Vettaiyan Audio Launch"" - https://sunnxt.page.link/VettaiyanAL

#SuperstarRajinikanth #AmitabhBachchan #FahadhFaasil #RanaDaggubati #ManjuWarrier #Anirudh 

Vettaiyan is an upcoming Indian Tamil-language action drama film directed by T. J. Gnanavel and produced by Subaskaran's Lyca Productions. The film stars Rajinikanth in the titular role, alongside Amitabh Bachchan, Fahadh Faasil, Rana Daggubati, Manju Warrier, Ritika Singh, Dushara Vijayan and Abhirami. It is the thirtieth production for the studio and marks the Tamil debut of Bachchan.

Don't forget to SUBSCRIBE to the Sun TV YouTube 👉 http://bit.ly/suntvsubscribe

---------------------------------------------------------
Watch more:
Movie Clips on SUN NXT - https://bit.ly/3gc1dPI
Shows from Sun Music - http://bit.ly/2YS5eBi
Comedy Shows from AdithyaTV - http://bit.ly/2K6VaiZ
News from Sun News - http://bit.ly/2Yyvgsi
---------------------------------------------------------
SUN NXT: Watch the latest movies in DOLBY DIGITAL PLUS, 4000+ Movies in HD, 30+ Live TV Channels, TV Shows, TV Serials & Digital Exclusives on SUN NXT anywhere anytime.
---------------------------------------------------------
Follow us on Social Media for Latest Updates:
Facebook: https://www.facebook.com/SunTV
Twitter: https://twitter.com/SunTV
Instagram: https://www.instagram.com/suntv
---------------------------------------------------------",2024-10-08T12:30:41Z,UCBnxEdpoZwstJqC1yZpOjRA,Sun TV,24,"['Vettaiyan', 'Vettaiyan audio launch', 'Rajinikanth', 'Amitabh Bachchan', 'Fahadh Faasil', 'Rana Daggubati', 'Manju Warrier', 'Kishore', 'Ritika Singh', 'Dushara Vijayan', 'GM Sundar', 'Abirami', 'Rohini', 'Rao Ramesh', 'Ramesh Thilak', 'Rakshan', 'sun tv', 'Vettaiyan audio launch full show', 'full show', 'shorts', 'trending', 'rajinikanth speech', 'superstar rajinikanth', 'vettaiyan audio launch full show', 'vettaiyan movie', 'vettaiyan movie trailer']",PT44M14S,hd,false,1454817,58725,0,0,2498
rPX4hCYkXFo,Singham Again Trailer REVIEW | Deeksha Sharma,"Singham Again Trailer Review By Deeksha Sharma. Singham Again Featuring Ajay Devgn, Kareena Kapoor Khan, Ranveer Singh, Akshay Kumar, Deepika Padukone, Tiger Shroff, Arjun Kapoor, Jackie Shroff is the Most Anticipated Sequel from Rohit Shetty Cop Universe with Secret Connection to Ramayana & Preparation of Desi Avengers with never seen before Star Cast in Action.

Singham Again Trailer Reaction & Full Movie Expectations would be shared in this Video. Bhool Bhulaiyaa 3 Trailer & Kartik Aaryan in Shock or Singham Again Mass Cinema Overdose flop? Find all the answers inside.

#SinghamAgain #SinghamAgainTrailer #SinghamAgainTrailerReview",2024-10-07T10:39:12Z,UCeiAKuJGZrIjYvaq0nMwbJg,Filmi Indian,24,"['singham again', 'singham again trailer', 'singham again trailer review', 'singham again movie', 'singham again review', 'singham again full movie', 'trailer', 'review', 'reaction', 'ajay devgn', 'rohit shetty', 'ranveer singh', 'akshay kumar', 'deepika padukone', 'singham 3', 'singham 3 trailer', 'bhool bhulaiyaa 3', 'bhool bhulaiyaa 3 trailer', 'kartik aaryan', 'singham again vs bhool bhulaiyaa 3', 'movie review', 'filmi indian', 'JioStudios']",PT6M30S,hd,false,1501224,55545,0,0,6162
rUKxY6_eujE,Kabhi Main Kabhi Tum Episode 27 | Fahad Mustafa | Hania Aamir | 8 Oct 2024  | ARY Digital,"Watch all the episode of Kabhi Main Kabhi Tum here: https://bit.ly/3zNNsGu

Kabhi Main Kabhi Tum | Episode 27 | Digitally Presented by Master Paints , foodpanda , Sunsilk & Skin White | Fahad Mustafa | Hania Aamir | 8 October 2024 | ARY Digital Drama 

The drama revolves around the concept of ‘Opposites Attract’ where Hania aka Sharjeena will portray the role of a bibliophile, topper and a sorted girl with a practical approach while Fahad’s character is a little laid-back.

Writer: Farhat Ishtiaq
Directed by: Badar Mehmood
 
Cast:
Fahad Mustafa as Mustafa
Hania Aamir as Sharjeena
Emmad Irfani as Adeel
Javed Sheikh as Iftekhar 
Bushra Ansari as Shagufta
Maya Khan as Sidra
Naeema Butt as Rubab
Tauseeq Haider,
Yousuf Bashir Qureshi.

Watch Kabhi Main Kabhi Tum every Monday & Tuesday at 8 :00 PM on ARY Digital

#kabhimainkabhitum  #fahadmustafa  #haniaaamir  #emmadirfani  #javedsheikh  #bushraansari  #mayakhan  #NaeemaButt

Pakistani Drama Industry's biggest Platform, ARY Digital, is the Hub of exceptional and uninterrupted entertainment. You can watch quality dramas with relatable stories, Original Sound Tracks, Telefilms, and a lot more impressive content in HD. Subscribe to the YouTube channel of ARY Digital to be entertained by the content you always wanted to watch.

Subscribe: https://bit.ly/2PiWK68

Join ARY Digital on Whatsapp
 👉 https://bit.ly/3LnAbHU",2024-10-08T16:00:07Z,UC4JCksJF76g_MdzPVBJoC3Q,ARY Digital HD,24,"['ary', 'ary digital', 'new Pakistani dramas', 'Kabhi Main Kabhi Tum episode 27', 'watch Kabhi Main Kabhi Tum ep 27', 'kabhi main kabhi tum new drama', 'new drama kabhi mein kabhi tum', 'New drama Fahad Mustafa kabhi main kabhi tum', 'Kabhi Main Kabhi Tum', 'ARY Digital', 'ARY', 'Fahad Mustafa', 'Hania Aamir', 'Pakistani drama 2024', 'Pakistani drama 2024 Kabhi Main Kabhi Tum ep 27', 'latest episode 27 kabhi mein kabhi tum', 'new episode kabhi mein kabhi tum', 'hania amir new drama', 'Pakistani serial']",PT37M32S,hd,false,7711839,193029,0,0,7342
LpaIZqM8vYQ,BIGG BOSS 18 ROAST! FT RAJAT DALAL & POOKIE BABA,"Get 2% POPcoins on every UPI spend with POPclub plus 50 bonus POPcoins on the first UPI transaction. 1 POPcoin = ₹1.

Redeem your POPcoins across 500+ India’s top new-gen brands across Electronics, Fashion, Beauty & Personal Care, Food & Beverages & more

Download the POPclub app now -

https://8mvyk.app.link/thugeshpopclub

#thugesh #biggboss18 #rajatdalal 

▶️ Main Channel:  @Thugesh 
🎙️Thugesh Show Channel @AsliThugesh 
👀Reaction Channel @UnfilteredThugesh 
🤏 Shorts Channel: @realthugesh 

THINGS I USE!
Flip glasses I use https://amzn.to/443ufv5
Sword I use- https://amzn.to/40B0z5B 
Best Camera I use - https://amzn.to/40AYFlt
Best Lens I use- https://amzn.to/41LCFp8
                             https://amzn.to/3L5aPgN
best Lights I use - https://amzn.to/42d6VcT
Best tube lights I use- https://amzn.to/41yYqZB
Best Mic I use- https://amzn.to/41VcGvr
Best Tripod I use https://amzn.to/3V5ev71
My Watch https://amzn.to/3HacqRl


FOLLOW ME ON:

📸 Instagram: https://www.instagram.com/maheshkeshwala/
🐦  Twitter: https://twitter.com/RealThugesh
📖 Facebook: https://www.facebook.com/thugesh

►DISCLAIMER
Copyright Disclaimer under section 107 of the Copyright Act of 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.

Note- all the comments and jokes made in the video are for the content and the clips and not on the person himself!! thank you :)",2024-10-08T16:13:21Z,UCPtPyb4VvaNqjkbL_tSVFVA,Thugesh,24,"['thugesh', 'thugesh thug life', 'thugesh funny', 'thugesh latest video', 'thugesh new video', 'thugesh roast', 'roast video', 'late night show', 'khabresh', 'funny', 'indian news', 'funniest indian news', 'the thugesh show', 'thugesh show funny', 'thugesh new show', 'roast videos', 'rajat dalal bigg boss', 'rajat dalal', 'thugesh rajat dalal', 'thugesh roast bigg boss', 'thugesh bigg boss roast', 'thugesh meme']",PT16M23S,hd,false,766117,63019,0,0,2724
lcvLHwjO6Zg,அவ்ளோதான் முடிச்சிவிட்டீங்க !! Bigg Boss Tamil Season 8 Grand Launch Reaction😱Vijay Tv | Tamil Troll,"*Instagram: https://www.instagram.com/emptyhand_yt

Our New Shorts Channel : https://www.youtube.com/channel/UCi7piZmMfCPsM7RwXk-WTIg

Join With Me Friends... 
For More  Videos... Subscribe to Empty Hand Youtube Channel",2024-10-07T05:38:13Z,UC8_aMwsn53tncdH-5iLu8-w,Empty Hand,24,"['empty hand', 'ajith sri', 'empty hand roast', 'bigg boss season 8', 'bigg boss tamil 8', 'bigg boss tamil season 8 contestants', 'bigg boss tamil season 8', 'bigg boss 8 tamil', 'bigg boss tamil season 8 live', 'bigg boss tamil season 8 promo', 'bigg boss tamil season 8 contestants list', 'bigg boss 8 tamil promo', 'bigg boss 8 tamil live today', 'bigg boss 8 tamil troll', 'bigg boss 8 review', 'bigg boss roast', 'vijay tv', 'vijay sethupathi', 'bigg boss 8 tamil review', 'vijay television', 'kavundampalayam']",PT14M58S,hd,false,952543,40258,0,0,1070
QLOg0r8TfVc,Happy Birthday Maruthi - Special Making Video | #TheRajaSaab | Prabhas | Maruthi | SS Thaman | PMF,"A Birthday Blast for @director_maruthi straight from the sets of #TheRajaSaab 💥💥

An explosive entertainment is coming packed with all the CHILLS & A Special DARLING treat for all the fans 🔥🔥 

No one's going to stay in their seats ❤️‍🔥❤️‍🔥

𝐀 𝐑𝐞𝐛𝐞𝐥’𝐬 𝐄𝐧𝐭𝐞𝐫𝐭𝐚𝐢𝐧𝐦𝐞𝐧𝐭 𝐄𝐱𝐩𝐥𝐨𝐝𝐞𝐬 𝐖𝐨𝐫𝐥𝐝𝐰𝐢𝐝𝐞 𝐎𝐧 𝐀𝐩𝐫𝐢𝐥 𝟏𝟎𝐭𝐡, 𝟐𝟎𝟐𝟓 🌋

#TheRajaSaabOnApril10th 

#Prabhas #Maruthi #TGVishwaPrasad #ThamanS #KarthikPalani #VivekKuchibhotla #Rajeevan #VenkateshwaraRao #RamLaxman #KingSolomon #SKN

Cast: Prabhas, Malavika Mohanan, Nidhhi Agerwal

Crew Details:
Written & Directed by: Maruthi
Produced by: TG Vishwa Prasad
Music: Thaman S
Co-Producer: Vivek Kuchibhotla
DOP: Karthik Palani
Production Designer: Rajeevan
Associate Producer: Raja Subramanian, Sunil Shah
Editor: Kotagiri Venkateshwara Rao
Fight Master: Ram Laxman, King Solomon
VFX Producer: RC Kamalakannan
Creative Producer: SKN
Marketing: Walls & Trends
Sound design: Sync Cinema
VFX Company: Deccan Dreams


--------------------------------------------------------------------

#PeopleMediaFactory is a film production company established by TG Vishwa Prasad. Many successful films are being made under this production banner and are currently very diligent with a line-up of movies.

--------------------------------------------------------------------

Watch More Videos On People Media Factory:
☛https://youtu.be/3PlDRKKA0n4?si=qyfjoZPRWddmjJoE
☛https://youtu.be/QuLXIVIu6M0?si=OFUrIrINnwXt0lmV
☛https://youtu.be/xnubQ829q0c?si=HrAJBYFwdXenmw-m
☛https://youtu.be/dvGb468n2ck?si=Uw9ye-_kMMNXs_hE
☛https://youtu.be/15-wB7xVsGw?si=b4Q5j_baymE_1kH6
☛https://youtu.be/S-VogJ6GN54?si=oELsGtaSV8KIL77X
--------------------------------------------------------------------
Stay Connected with People Media Factory:

☛ Subscribe to Our YouTube Channel: https://youtube.com/@PeopleMediaFactory?si=kGbwH_TiWt7-Rk5G
☛ Follow us on Facebook: https://www.facebook.com/peoplemediafactory
☛ Follow us on Instagram: https://www.instagram.com/peoplemediafactory/
☛ Follow us on Twitter: https://twitter.com/peoplemediafcy
☛ Visit Our Website: https://peoplemediafactory.com/",2024-10-08T10:35:04Z,UCrzx3ZPXEZpzEGLF1gIuORQ,People Media Factory,24,"['People Media Factory', 'Prabhas New Movie', 'Raja Saab Prabhas', 'Raja Saab Glimpse', 'Raja Saab Glimpse Telugu', 'Raja Saab Making Video', 'Raja Saab Special Making Video', 'Director Maruthi Birthday Special Video', 'Rajasaab Prabhas Movie Glimpse', 'Raja Saab', 'RajaSaab Glimpse', 'Rajasaab Update', 'Raja Saab Update Latest Update', 'Raja Saab Update Telugu', 'Raja Saab Teaser', 'RajaSaab Trailer', 'Prabhas Rajasaab', 'Upcoming Prabhas Movie', 'Upcoming Movies 2025', 'The Raja Saab Glimpse', 'Director Maruthi']",PT36S,hd,false,675696,33470,0,0,485
O6dE743Rez8,Amaran An Introduction EP - 2 | Kamal Haasan | Sivakarthikeyan | Sai Pallavi | Rajkumar | Mahendran,"Watch Amaran An Introduction EP - 2 now !

Movie Credits:
Starring: Sivakarthikeyan, Sai Pallavi
Written & Directed by: Rajkumar Periasamy
Banner: Raajkamal Films International & Sony Pictures International Productions Produced by : Kamal Haasan, Sony Pictures International Productions, R. Mahendran Co- Produced by: Vakil Khan (God Bless Entertainment)

 Music: G V Prakash Kumar Cinematographer: CH Sai Action: Anbariv
Action Director: Stefan Richter Editor: R. Kalaivannan
Dance Choreography: Sherif
Production Design: Rajeevan
Costume designers: Amritha Ram, Sameera Saneesh, V. Sai Make Up : Altaf Assu Mammoo, U K Sasikumar
Dialogue Writer: Rajkumar Periasamy
Stills: D.Narendran
Publicity Designer: Gopi Prasannaa
PRO: Diamond Babu & Sathish Kumar, Vamsi Shekar Subtitles - Rekhs
Sound Designer: Sync Cinema
Sound Mixer : Kannan Ganpat
VFX: Spectre Post
DI: Pixel Light Studio
Production Controller: M. Senthel
Associate Director: Naveen Senthilnathan
Digital Marketing : Magizh Mandram
Executive Producer: S. Disney
Kamal Haasan Twitter : http://www.twitter.com/iKamalHaasan
Kamal Haasan Facebook : http://www.facebook.com/iKamalHaasan

Subscribe - http://bit.ly/1yXII8Z

#ulaganayagan #kamalhaasan #sivakarthikeyan #amaran #amarandiwali #saipallavi",2024-10-08T04:30:17Z,UC_gXhnzeF5_XIFn4gx_bocg,Raaj Kamal Films International,22,"['Ulaganayagan Tube', 'Kamal Haasan', 'siva karthikeyan', 'sivakarthikeyan', 'amaran video', 'sai pallavi', 'rajkumar periyasamy', 'Gv prakash', 'ulaganayagan kamalhaasan', 'amaran trailer', 'amaran teaser', 'amaran an introduction', 'amaran new video', 'sivakarthikeyan amaran', 'amaran diwali', 'amaran sai pallavi', 'sai pallavi sivakarthikeyan', 'kamalhaasan amaran', 'amaran an introduction video']",PT10M40S,hd,true,267083,10148,0,0,221
glw4pTkm4WY,Singham Again Trailer Review,"subskibe

Instagram
https://www.instagram.com/badal_bnftv

Facebook
https://www.facebook.com/bnftv/?ref=br_rs

Twitter
https://twitter.com/badal_bnftv",2024-10-07T10:28:58Z,UCUinnqDgIsNFleLdkZKbP-w,BnfTV,24,[],PT7M34S,hd,false,651929,37779,0,0,2575
Ayr54cBVUU0,I Built A Personal Dam...Swimming Pool,"SUBSCRIBE: https://youtube.com/MRINDIANHACKER?sub_confirmation=1

FOLLOW KARLO 😘
Instagram : https://www.instagram.com/dilraj_singh_rawat
Twitter : https://www.x.com/MR_INDIANHACKER
Facebook : https://www.facebook.com/mrindianhacker00
--------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------
𝐅𝐨𝐫 𝐁𝐮𝐬𝐢𝐧𝐞𝐬𝐬 & 𝐂𝐨𝐥𝐥𝐚𝐛𝐨𝐫𝐚𝐭𝐢𝐨𝐧'𝐬 𝐂𝐨𝐧𝐭𝐚𝐜𝐭 𝐇𝐞𝐫𝐞:-
Team@mrindianhacker.com
Gaurav@mrindianhacker.com
Manish@mrindianhacker.com
--------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------",2024-10-08T11:21:36Z,UCSiDGb0MnHFGjs4E2WKvShw,MR. INDIAN HACKER,28,[],PT24M43S,hd,false,2150312,235942,0,0,13747
